db_field_name,pretty_name,type,len,8.1,8,7,6.4,6.3,6.2,6.1,5.3,5.2,5.1,5,3,2,1,P3.1,P3.0,P2.6,P2.4,P2.3,P2.2,P1.0
form_tp,Electronic Form Type,varchar,8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
comm_id,Filer Committee ID,char,9,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
trans_id,Transaction ID,varchar,20,3,3,3,3,3,3,3,37,37,37,37,37,37,,,,,,,,
bk_ref_trans_id,Back Reference Transaction ID,varchar,20,4,4,4,4,4,4,4,40,40,40,40,40,,,,,,,,,
bk_ref_sched,Back Reference Schedule Name,varchar,8,5,5,5,5,5,5,5,41,41,41,41,41,,,,,,,,,
ent_tp,Entity Type,char,3,6,6,6,6,6,6,6,3,3,3,3,3,3,,,,,,,,
payee_full_nm,Payee Full Name (discontinued after v5),varchar,90,,,,,,,,4,4,4,4,4,4,3,,,,,,,
payee_org_nm,Payee Organization Name,varchar,200,7,7,7,7,7,7,7,,,,,,,,3,3,3,3,3,3,3
payee_last,Payee Last Name,varchar,30,8,8,8,8,8,8,8,,,,,,,,4,4,4,4,4,4,4
payee_first,Payee First Name,varchar,20,9,9,9,9,9,9,9,,,,,,,,5,5,5,5,5,5,5
payee_mid,Payee Middle Name,varchar,20,10,10,10,10,10,10,10,,,,,,,,6,6,6,6,6,6,6
payee_pfx,Payee Name Prefix,varchar,10,11,11,11,11,11,11,11,,,,,,,,7,7,7,7,7,7,7
payee_sfx,Payee Name Suffix,varchar,10,12,12,12,12,12,12,12,,,,,,,,8,8,8,8,8,8,8
payee_addr1,Payee Street Address Line 1,varchar,34,13,13,13,13,13,13,13,5,5,5,5,5,5,4,9,9,9,9,9,9,9
payee_addr2,Payee Street Address Line 2,varchar,34,14,14,14,14,14,14,14,6,6,6,6,6,6,5,10,10,10,10,10,10,10
payee_city,Payee City (Address),varchar,30,15,15,15,15,15,15,15,7,7,7,7,7,7,6,11,11,11,11,11,11,11
payee_state,Payee State (Address),char,2,16,16,16,16,16,16,16,8,8,8,8,8,8,7,12,12,12,12,12,12,12
payee_zip,Payee Zip Code,varchar,9,17,17,17,17,17,17,17,9,9,9,9,9,9,8,13,13,13,13,13,13,13
elec_cd,Election Code,char,5,18,18,18,18,18,18,18,42,42,42,42,,,,29,28,28,28,28,28,28
elec_oth_desc,Other Election Description,varchar,20,19,19,19,19,19,19,19,43,43,43,43,,,,30,29,29,29,29,29,29
dissem_dt,Dissemination Date,int,,20,,,,,,,,,,,,,,14,,,,,,
exp_amt,Expenditure Amount,money,,21,21,21,21,21,21,21,12,12,12,12,12,12,11,15,15,15,15,15,15,15
disb_dt,Disbursement Date,int,,22,20,20,20,20,20,20,11,11,11,11,11,11,10,16,14,14,14,14,14,14
amt_ytd_per_office,Amount Spent Calendar Year-to-Date Per  Election for Office Sought,money,,23,22,22,22,22,22,22,46,46,46,46,,,,28,27,27,27,27,27,27
exp_purp_cd,Expenditure Purpose Code,char,3,,,23,23,23,23,23,45,45,45,45,,,,,,,,,,
exp_purp,Expenditure Purpose,varchar,100,24,23,24,24,24,24,24,10,10,10,10,10,10,9,17,16,16,16,16,16,16
exp_cat_cd,Expenditure Category Code,char,3,25,24,25,25,25,25,25,44,44,44,44,,,,18,17,17,17,17,17,17
payee_comm_id,Payee Committee ID,char,9,26,25,26,26,26,26,26,19,19,19,19,19,19,,,,,,,,
